авг.85	352P	744	1191	1191
авг.85	37P	744	2813	2813
сен.85	352P	672	950	950
сен.85	37P	672	950	950
окт.85	352P	144	30	30
окт.85	37P	144	170	170
ноя.85	352P	600	121	121
ноя.85	37P	720	479	479
дек.85	352P	744	143	143
дек.85	37P	744	357	357
янв.86	352P	720	142	142
янв.86	37P	720	358	358
фев.86	352P	744	170	170
фев.86	37P	744	430	430
мар.86	352P	744	171	171
мар.86	37P	744	429	429
апр.86	352P	720	171	171
апр.86	37P	720	429	429
май.86	352P	744	285	285
май.86	37P	744	315	315
июн.86	352P	720	285	285
июн.86	37P	720	315	315
июл.86	352P	72	57	57
июл.86	37P	744	410	410
июл.86	644	456	595	595
июл.86	667	144	151	151
июл.86	692	24	25	25
авг.86	352P	744	1648	1648
авг.86	37P	744	2747	2747
авг.86	643	360	578	584
авг.86	644	744	494	494
авг.86	666	480	1228	1240
авг.86	667	744	208	692
авг.86	692	744	690	690
авг.86	693	72	107	114
сен.86	352P	696	1678	1678
сен.86	37P	696	2793	2793
сен.86	643	696	1217	1230
сен.86	644	696	502	502
сен.86	665	120	136	136
сен.86	666	696	1935	1955
сен.86	667	24	8	25
сен.86	692	696	702	702
сен.86	693	696	1129	1204
окт.86	352P	744	2106	2106
окт.86	370P	48	47	47
окт.86	37P	744	3506	3506
окт.86	593	288	281	281
окт.86	618	288	281	281
окт.86	643	744	1527	1543
окт.86	644	744	632	632
окт.86	665	744	987	987
окт.86	666	744	2430	2455
окт.86	667	144	85	106
окт.86	669	384	375	375
окт.86	692	744	883	883
окт.86	693	744	1416	1510
окт.86	695	696	544	680
ноя.86	352P	720	1726	1726
ноя.86	370P	720	305	305
ноя.86	37P	720	3172	3172
ноя.86	593	720	1371	1371
ноя.86	618	720	595	595
ноя.86	641	96	61	61
ноя.86	643	720	1381	1395
ноя.86	644	720	609	609
ноя.86	664	48	20	20
ноя.86	665	720	507	507
ноя.86	666	720	1508	1523
ноя.86	667	24	24	30
ноя.86	669	720	595	595
ноя.86	691	576	305	305
ноя.86	692	720	725	725
ноя.86	693	720	381	381
ноя.86	694	504	267	267
ноя.86	695	720	448	457
дек.86	352P	744	2161	2161
дек.86	370P	744	366	366
дек.86	37P	744	3963	3963
дек.86	593	744	1647	1647
дек.86	595	600	1452	1452
дек.86	618	744	433	433
дек.86	641	744	216	216
дек.86	643	744	1659	1676
дек.86	644	744	93	466
дек.86	664	744	366	366
дек.86	665	744	608	608
дек.86	666	744	519	1298
дек.86	667	744	287	359
дек.86	669	744	715	715
дек.86	691	744	504	504
дек.86	692	744	872	872
дек.86	693	744	457	457
дек.86	694	744	719	719
дек.86	695	744	537	549
дек.86	719	168	163	163
дек.86	770	168	163	163
янв.87	352P	720	1651	1651
янв.87	370P	720	391	391
янв.87	37P	720	3302	3302
янв.87	593	720	1757	1757
янв.87	595	624	228	228
янв.87	618	648	207	207
янв.87	639	96	44	44
янв.87	641	720	231	231
янв.87	643	720	1143	1155
янв.87	644	720	100	503
янв.87	664	648	296	296
янв.87	665	648	237	237
янв.87	666	720	397	992
янв.87	667	720	39	385
янв.87	669	648	296	296
янв.87	691	720	857	857
янв.87	692	720	931	931
янв.87	693	720	488	488
янв.87	694	720	768	768
янв.87	695	672	210	214
янв.87	719	720	659	659
янв.87	770	720	768	768
фев.87	352P	744	1162	1162
фев.87	370P	744	276	276
фев.87	37P	744	2531	2531
фев.87	593	744	1117	1117
фев.87	618	192	71	71
фев.87	639	744	1075	1075
фев.87	641	96	21	21
фев.87	642	168	95	95
фев.87	643	744	959	969
фев.87	644	744	71	358
фев.87	666	744	421	1054
фев.87	667	96	3	35
фев.87	668	576	326	326
фев.87	670	168	95	95
фев.87	691	744	358	358
